cpd	ma
C16269	6
C09699	6
C19736	7
C20724	6
C16551	10
C16558	9
C07643	11
C16553	10
C02985	9
C04188	10
C16149	8
C14220	7
C01273	8
C14617	8
C01745	8
C07733	7
C19678	9
C19686	9
C16214	9
C16605	9
C16604	8
C16206	8
C16204	8
C03164	8
C16207	6
C02161	11
C21307	11
C01111	11
C22444	10
C21320	9
C14335	6
C05645	11
C16391	7
C20285	9
C05652	11
C05646	11
C05830	11
C01557	8
C20857	8
C01748	10
C20289	11
C01864	9
C22007	9
C11433	8
C00482	9
C18215	7
C12491	10
C16365	8
C14107	9
C02730	9
C05655	11
C05644	11
C06538	10
C19688	12
C19255	12
C16196	11
C04797	10
C17758	10
C04796	10
C06581	10
C11355	11
C20225	10
C00251	9
C18054	10
C06047	9
C03227	11
C00885	9
C06048	10
C05651	11
C21777	11
C00978	11
C00643	11
C02587	13
C20653	10
C19602	13
C20654	10
C00254	9
C11057	8
C22571	10
C18114	8
C06536	11
C16203	8
C00371	11
C19687	12
C04468	8
C16205	6
C16262	9
C07722	9
C01249	10
C14106	10
C11428	8
C15545	11
C05539	9
C05932	8
C19566	13
C20417	10
C19563	13
C00386	11
C00931	10
C21144	9
C06810	13
C16572	10
C19603	13
C06656	11
C00016	13
C06916	10
C15477	12
C00826	9
C09243	10
C02029	11
C04390	8
C00669	8
C16598	7
C21559	7
C16600	7
C22073	10
C21015	8
C15767	9
C20913	7
C03415	9
C06605	10
C20921	10
C20247	14
C19577	13
C20246	14
C19580	13
C16704	11
C05945	13
C20700	7
C16308	8
C05844	12
C03461	7
C00627	12
C00647	13
C00881	13
C00526	11
C16186	11
C07521	8
C20822	11
C22458	9
C22886	10
C22879	10
C16318	9
C11512	9
C00120	11
C01126	7
C06893	10
C19746	7
C17223	9
C03220	7
C01286	11
C17222	9
C01817	8
C04442	11
C09704	7
C21199	10
C19630	6
C03175	12
C10171	10
C04277	6
C20990	6
C20818	11
C09737	7
C01187	8
C17697	11
C21574	9
C16557	10
C07646	11
C01236	10
C16143	8
C09621	8
C20479	8
C19711	7
C19939	6
C17954	7
C06019	9
C02888	9
C06424	7
C22310	9
C21205	10
C21209	10
C18893	10
C20668	10
C21415	10
C21218	11
C21367	10
C06183	6
C11453	8
C06521	7
C17955	7
C17953	7
C06311	9
C00670	10
C00644	9
C01096	9
C01172	10
C00275	10
C00668	10
C00103	10
C18096	10
C03546	8
C15924	10
C00085	10
C01113	10
C00663	10
C22029	10
C02962	10
C01283	10
C01097	10
C06377	10
C06156	10
C01094	10
C00092	10
C03267	10
C00352	10
C04006	8
C12213	10
C15926	10
C01177	8
C12214	10
C00636	10
C21216	11
C19974	6
C20181	6
C19755	6
C18245	6
C18216	9
C14095	9
C03582	8
C08062	9
C16263	9
C07731	9
C20981	9
C21442	11
C18253	8
C21321	9
C14519	7
C13632	7
C06587	9
C03621	10
C07718	10
C16000	12
C07725	10
C16208	9
C02951	10
C22445	9
C21412	12
C11468	11
C21413	11
